measure_time,SPEC-O3,SPEC-CO,SPEC-NO2,SPEC-SO2
2023-01-07 11:00:00,-2.386833590705882,5.747357536764706,-14.257812472058824,71.97552849264706
2023-01-07 12:00:00,-2.2395833174499997,6.233723918583333,-14.397786474166667,80.39876302083333
2023-01-07 13:00:00,-2.3014323473333334,6.930338565516666,-15.050455792500001,90.36783854166667
2023-01-07 14:00:00,-2.6643880486166664,5.748697972316666,-14.055989504166666,75.00325520833333
2023-01-07 15:00:00,-2.4381510495833334,5.312500007950001,-12.535807323333334,66.23046875
2023-01-07 16:00:00,-2.5927734017666664,5.06835939885,-11.980794255000001,60.891927083333336
2023-01-07 17:00:00,-2.6139322360333335,4.4287109216,-10.861002556666667,51.446940104166664
2023-01-07 18:00:00,-2.5781249682,4.238281214216666,-10.255533933533334,46.969401041666664
2023-01-07 19:00:00,-2.5390624840666667,4.241536506033333,-9.881184911933333,45.8837890625
2023-01-07 20:00:00,-2.50488278465,4.305013116233334,-9.8274739743,45.862630208333336
2023-01-07 21:00:00,-2.3893229325666665,4.282226622116667,-9.788411506233333,45.8544921875
2023-01-07 22:00:00,-2.3583984970666667,4.288736971216666,-9.833984359366667,46.1181640625
2023-01-07 23:00:00,-2.418619831283334,4.186197809333334,-9.7705078443,45.646158854166664
2023-01-08 00:00:00,-2.3421224792,4.18294268845,-9.869791666933335,45.579427083333336
2023-01-08 01:00:00,-2.36165361805,4.176432216116667,-9.744466082433332,45.354817708333336
2023-01-08 02:00:00,-2.2835286816333333,4.212239567416667,-9.835611868333332,45.738932291666664
2023-01-08 03:00:00,-2.1988932013666664,4.21386713185,-9.848632749166665,46.5185546875
2023-01-08 04:00:00,-2.1712239821500003,4.187825449266667,-9.887695217300001,47.1044921875
2023-01-08 05:00:00,-2.2526041348500003,4.0152994234333335,-9.902343766166666,45.506184895833336
2023-01-08 06:00:00,-2.21516936215,3.9485676287333336,-10.040690199566665,43.649088541666664
2023-01-08 07:00:00,-2.1565755645333335,3.992512897533333,-10.1464843752,43.321940104166664
2023-01-08 08:00:00,-2.0182291825666665,4.376627536566667,-10.618489599566667,47.239583333333336
2023-01-08 09:00:00,-1.7561848521666665,5.8789063772,-10.732421890833333,66.2939453125
2023-01-08 10:00:00,-1.8522135177999999,7.696940048516667,-12.3046875475,96.06608074
2023-01-08 11:00:00,-2.1533203641,9.415690104300001,-14.078775978333333,123.88183595833334
2023-01-08 12:00:00,-2.5260416507500003,10.244140625333333,-15.019531218333332,136.03352866833333
2023-01-08 13:00:00,-2.786458333316667,9.799804592433333,-14.619140656666668,131.76432294166668
2023-01-08 14:00:00,-2.8548177321500003,7.796223990133333,-13.063151105000001,101.77083334416668
2023-01-08 15:00:00,-2.5781249681666667,8.068033750816666,-12.167968765833333,101.44042971333333
2023-01-08 16:00:00,-2.6334635496166663,7.386067684483334,-12.008463589166666,93.00130208583333
2023-01-08 17:00:00,-2.6790364186166666,6.907552011783333,-11.318359390833333,79.7216796875
2023-01-08 18:00:00,-2.5764973998,6.612955705316667,-11.193033838333333,71.416015625
2023-01-08 19:00:00,-2.451171851133333,6.217447932566667,-11.788736979166666,66.51204427083333
2023-01-08 20:00:00,-2.3942057808,5.76171880565,-12.438151105000001,62.3291015625
2023-01-08 21:00:00,-2.3470052004,5.475260424616667,-13.247070344166668,58.310546875
2023-01-08 22:00:00,-2.2835286656666667,5.8300781409,-14.106445296666667,57.9052734375
2023-01-08 23:00:00,-2.1679688135666666,6.046549582516667,-14.361979230000001,59.915364583333336
2023-01-09 00:00:00,-2.1923828164,6.0351563295,-14.298502619999999,60.5615234375
2023-01-09 01:00:00,-2.0377604167166665,6.0400390148000005,-13.7809244475,60.506184895833336
2023-01-09 02:00:00,-2.1679687182333334,5.7861328443,-13.621419255000001,58.995768229166664
2023-01-09 03:00:00,-2.158203053383333,5.1855468273000005,-13.600260432499999,55.343424479166664
2023-01-09 04:00:00,-2.0768228213166666,5.079752580316667,-14.169921795833334,54.205729166666664
2023-01-09 05:00:00,-2.16796881355,5.022786418583333,-14.537760400833333,52.374674479166664
2023-01-09 06:00:00,-2.1289061865166667,5.013020825383333,-14.954427083333334,51.7041015625
2023-01-09 07:00:00,-2.097981782733333,5.257161450383333,-14.830729182499999,52.666015625
2023-01-09 08:00:00,-2.003580669583333,5.911458341283334,-14.490559895833334,58.583984375
2023-01-09 09:00:00,-2.2672526002166666,5.799153614033333,-13.147786426666666,62.117513020833336
2023-01-09 10:00:00,-2.2412109653,6.01074227495,-12.083333285833334,66.02701822916667
2023-01-09 11:00:00,-2.1484375000666662,6.5169271310333325,-11.564127604166666,73.49446614583333
2023-01-09 12:00:00,-2.2330728690166666,7.332356707233333,-11.655273500833335,83.6865234375
2023-01-09 13:00:00,-2.5553385178666668,6.5625002067,-11.848958380833333,78.36263020833333
2023-01-09 14:00:00,-2.550455764916667,5.89355471135,-11.040039173333334,69.6923828125
2023-01-09 15:00:00,-2.38118497915,5.6738280455,-10.960286363333333,65.77962239583333
2023-01-09 16:00:00,-2.4332682331333335,5.688476522749999,-11.090494775833333,63.212890625
2023-01-09 17:00:00,-2.34537764785,5.651041555366667,-11.149088589166666,61.507161458333336
2023-01-09 18:00:00,-2.3811848521166668,5.651041595116666,-11.619466240833333,60.3662109375
2023-01-09 19:00:00,-2.303059836283333,5.696614487933333,-12.070312468333332,59.910481770833336
2023-01-09 20:00:00,-2.2721354008166665,6.015625071550001,-12.332356881666668,61.608072916666664
2023-01-09 21:00:00,-2.3046875317833337,6.3867186864,-12.418619680833332,63.468424479166664
